央视频道,#genre#
辽宁卫视,http://fangsong.live/hls/live.php?id=lnws
广东卫视,http://iptv.tvfix.org/hls/gdhd.m3u8
广东卫视,http://fangsong.live/hls/miguak.php?id=gdws
广东公共,http://fangsong.live/hls/itouchtv.php?id=gdgg
广东综艺,http://fangsong.live/hls/itouchtv.php?id=gdzy
北京通州,http://pull.dayuntongzhou.com/live/tztv.m3u8
安徽经济,http://zbbf1.ahtv.cn/live/750.flv
安徽公共,http://zbbf1.ahtv.cn/live/752.flv
安徽科教,http://zbbf1.ahtv.cn/live/754.flv
安徽影视,http://zbbf1.ahtv.cn/live/756.flv
安徽综艺,http://zbbf1.ahtv.cn/live/758.flv
黑龙江卫视,http://fangsong.live/hls/miguak.php?id=hljws
深圳卫视,http://iptv.tvfix.org/hls/szhd.m3u8
河南卫视,http://iptv.tvfix.org/hls/hnhd.m3u8
吉林卫视,http://stream4.jlntv.cn/test2/sd/live.m3u8
吉林公共,http://stream1.jlntv.cn/ggpd/sd/live.m3u8
吉林乡村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8
吉林生活,http://stream1.jlntv.cn/shpd/sd/live.m3u8
吉林公共新闻,http://stream1.jlntv.cn/ggpd/sd/live.m3u8
吉林都市,http://stream1.jlntv.cn/dspd/sd/live.m3u8
陕西卫视,http://livepull.sxiptv.cn/live/shanxiweishihd.m3u8?txSecret=2c8f252eeb8e15cb0eea8e157c84e6ec&txTime=66666666
宁夏卫视,http://www.nxtv.com.cn/m2o/channel/play.php?channel_id=6
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/index.m3u8
四川新闻,http://scgctvshow.sctv.com/hdlive/sctv4/1.m3u8
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/playlist.m3u8
CETV1,http://fangsong.live/hls/cetv.php?id=cetv1
CETV2,http://fangsong.live/hls/cetv.php?id=cetv2
CETV3,http://fangsong.live/hls/cetv.php?id=cetv3
CETV4,http://fangsong.live/hls/cetv.php?id=cetv4
地方频道,#genre#
江门公共,http://fangsong.live/hls/jm.php?id=15
江门教育,http://fangsong.live/hls/jm.php?id=21
西安新闻综合,http://fangsong.live/hls/cibn.php?id=xaxwzh
什邡综合,http://live.sfrmt.com:85/live/zhpd.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
东莞综合,http://fangsong.live/hls/dgtv.php?id=4
东莞公共,http://fangsong.live/hls/dgtv.php?id=5
保定新闻,http://fangsong.live/hls/bdtv.php?id=1
宜昌综合,http://fangsong.live/hls/yctv.php?id=yczh
固镇影视,http://www.guzhenm.com:7004/hls/hd-live.m3u8
固镇综合,http://www.guzhenm.com:7001/hls/hd-live.m3u8
玉山新闻综合,http://tv.yszc.com.cn/rmt/live.m3u8
圆点导视,http://livepull.sxiptv.cn/live/yuandiandaoshilive.m3u8?txSecret=91df35b9bc20be8aa1606bead38ea99d&txTime=66666666
陕西新闻资讯,http://livepull.sxiptv.cn/live/shanxi1taohd.m3u8?txSecret=1d0dd5b982a07bd19b396912a20cf491&txTime=66666666
陕西都市青春,http://livepull.sxiptv.cn/live/shanxi2taohd.m3u8?txSecret=056af01ddaa7bf9ded03eb3a6056c3c9&txTime=66666666
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
宜兴新闻频道,http://livedfthlsyf.jstv.com/live/yixing_xw/online.m3u8
宜兴电视紫砂频道,http://livedfthlsyf.jstv.com/live/yixing_zs/online.m3u8
宿州公共频道,http://live.ahsz.tv/video/s10001ggpd/index.m3u8
宿州新闻综合,http://live.ahsz.tv/video/s10001szzh/index.m3u8
宿州科教,http://live.ahsz.tv/video/s10001kxjy/index.m3u8
日照新闻,http://live.rzw.com.cn/xwzh/sd/live.m3u8
广州综合,http://fangsong.live/hls/gsw.php?id=zhonghe
广州综合,https://aplay.gztv.com/sec/zhonghe.m3u8
广州综合,http://aplay.gztv.com/sec/zhonghe.flv
广州法治,https://aplay.gztv.com/sec/fazhi.m3u8
广州法治,https://aplay.gztv.com/sec/fazhi.flv
广州影视,https://aplay.gztv.com/sec/yingshi.m3u8
广州影视,https://aplay.gztv.com/sec/yingshi.flv
广州新闻,https://aplay.gztv.com/sec/xinwen.m3u8
广州新闻,https://aplay.gztv.com/sec/xinwen.flv
广州竞赛,https://aplay.gztv.com/sec/jingsai.m3u8
广州竞赛,https://aplay.gztv.com/sec/jingsai.flv
广州南国都市,https://aplay.gztv.com/sec/shenghuos.m3u8
广州南国都市,https://aplay.gztv.com/sec/shenghuos.flv
佛山影视,http://fangsong.live/hls/fstv.php?id=fsys
佛山南海,http://fangsong.live/hls/fstv.php?id=fsnh
三明公共频道,http://stream.smntv.cn/smtv2/sd/live.m3u8
三明新闻综合,http://stream.smntv.cn/smtv1/sd/live.m3u8
四川公共乡村,http://scgctvshow.sctv.com/hdlive/sctv9/index.m3u8
四川妇女儿童,http://scgctvshow.sctv.com/hdlive/sctv7/index.m3u8
四川影视文艺,http://scgctvshow.sctv.com/hdlive/sctv5/index.m3u8
四川文化旅游,http://scgctvshow.sctv.com/hdlive/sctv2/index.m3u8
四川新闻,http://scgctvshow.sctv.com/hdlive/sctv4/index.m3u8
四川星空购物,http://scgctvshow.sctv.com/hdlive/sctv6/index.m3u8
四川经济,http://scgctvshow.sctv.com/hdlive/sctv3/index.m3u8
珠海1,http://dslive.grtn.cn/zhzh/sd/live.m3u8
娄底综合,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
晋江市电视台,http://stream.jinjiang.tv/1/sd/live.m3u8
平乡电视台,http://hbpx.chinashadt.com:2036/live/px1.stream/chunklist.m3u8
平乡综合频道,http://hbpx.chinashadt.com:2036/live/px1.stream/playlist.m3u81kxjy/index.m3u8
开州综合频道,http://kaixianlive.cbg.cn:10345/1.m3u8
张家口一套,http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8
开州综合频道,http://kaixianlive.cbg.cn:10345/1.m3u8
张家港新闻综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
张家港社会生活,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8
上虞1新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
上虞3新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
娄底综合,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
宜兴新闻频道,http://livedfthlsyf.jstv.com/live/yixing_xw/online.m3u8
宜兴电视紫砂频道,http://livedfthlsyf.jstv.com/live/yixing_zs/online.m3u8
宿州公共频道,http://live.ahsz.tv/video/s10001ggpd/index.m3u8
宿州新闻综合,http://live.ahsz.tv/video/s10001szzh/index.m3u8
宿州科教,http://live.ahsz.tv/video/s10001kxjy/index.m3u8
嵊州综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
巴中公共频道,http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_247.m3u8
巴中综合频道,http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_246.m3u8
平乡电视台,http://hbpx.chinashadt.com:2036/live/px1.stream/chunklist.m3u8
平乡综合频道,http://hbpx.chinashadt.com:2036/live/px1.stream/playlist.m3u8
开州综合频道,http://kaixianlive.cbg.cn:10345/1.m3u8
张家口一套,http://nlive.zjkgdcs.com:8091/live/xwzhpd.m3u8
张家港新闻综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
张家港社会生活,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8
张家界1,http://stream.zjjrtv.com/zjjtv1/hd/live.m3u8
忠县综合频道,http://qxlmlive.cbg.cn:1935/app_2/_definst_/ls_35.stream/playlist.m3u8
惠州公共,http://livehuiz.chinamcache.com/live/zb02.m3u8
惠州新闻综合,http://livehuiz.chinamcache.com/live/zb01.m3u8
新泰乡村党建,http://live.xtgdw.cn:1935/live/xtxc/playlist.m3u8
新泰生活频道,http://live.xtgdw.cn:1935/live/xtsh/playlist.m3u8
新泰综合频道,http://live.xtgdw.cn:1935/live/xtzh/playlist.m3u8
晋中公共,http://jzlive.jztvnews.com:90/live/jzgg.m3u8
晋中综合,http://jzlive.jztvnews.com:90/live/jzzh.m3u8
景县电视一套,http://hbjx.chinashadt.com:1935/live/stream:jx1.stream_360p/playlist.m3u8
朔州TV1,http://stream.sxsztv.com/live1/playlist.m3u8
朔州TV2,http://stream.sxsztv.com/live2/playlist.m3u8
枣庄公共频道,http://stream.zzgd.tv/3/sd/live.m3u8
枣庄教育频道,http://stream.zzgd.tv/2/sd/live.m3u8
枣庄新闻综合,http://stream.zzgd.tv/1/sd/live.m3u8
梁平综合频道,http://qxlmlive.cbg.cn:1935/app_2/ls_44.stream/playlist.m3u8
武进新闻频道,http://live.wjyanghu.com/live/CH1.m3u8
武进生活频道,http://live.wjyanghu.com/live/CH2.m3u8
永新电视一套,http://jxyx.chinashadt.com:2036/live/1002.stream/playlist.m3u8
永新电视三套,http://jxyx.chinashadt.com:2036/live/1004.stream/playlist.m3u8
永新电视二套,http://jxyx.chinashadt.com:2036/live/1003.stream/playlist.m3u8
江苏新闻广播,http://lzlive.vojs.cn/5Fo8mMX/92/live.m3u8
江苏经典流行音乐广播,http://lzlive.vojs.cn/2wtSfrS/92/live.m3u8
江苏金陵之声,http://lzlive.vojs.cn/Hd2hIgM/92/live.m3u8
沧县电视二套,http://hebcx.chinashadt.com:2036/live/10002.stream/playlist.m3u8
沧县电视综合,http://hebcx.chinashadt.com:2036/live/10001.stream/playlist.m3u8
河北公共,http://live7.plus.hebtv.com/hbggx/playlist.m3u8
河北少儿科教,http://live6.plus.hebtv.com/sekjx/playlist.m3u8
河北影视剧,http://live6.plus.hebtv.com/hbysx/hd/live.m3u8
河北经济生活,http://live2.plus.hebtv.com/jjshx/playlist.m3u8
河北都市,http://live3.plus.hebtv.com/hbdsx/playlist.m3u8
济宁公共频道,http://lives.jnnews.tv/video/s10001JTV3/index.m3u8
济宁图文频道,http://lives.jnnews.tv/video/s10001JTV4/index.m3u8
济宁教育频道,http://lives.jnnews.tv/video/s10001JTV2/index.m3u8
浙江影视,http://hwml.cztv.com/channels/lantian/channel05/720p.m3u8
浙江教科影视,http://hwml.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hwml.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江新闻,http://hwml.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江民生休闲,http://hwml.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hwml.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hwml.cztv.com/channels/lantian/channel002/1080p.m3u8
海盐新闻频道,http://haiyan.liveyun.hoge.cn/xwpd/sd/live.m3u8
海西州综合频道,http://stream.haixitv.cn/1/sd/live.m3u8
湖南卫视,http://hbpx.chinashadt.com:2036/live/px5.stream/playlist.m3u8
滦县综合频道,http://hblxx.chinashadt.com:2036/live/stream:lx1.stream/playlist.m3u8
滦县综艺频道,http://hblxx.chinashadt.com:2036/live/stream:lx2.stream/playlist.m3u8
滨州公共电视剧,http://stream.bzcm.net/1/sd/live.m3u8
滨州新闻综合,http://stream.bzcm.net/2/sd/live.m3u8
滨州测试频道,http://stream.bzcm.net/4/sd/live.m3u8
滨海新闻,http://60.30.52.41/live/bhtv1/playlist.m3u8
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8
潮安综合,http://chaoan.chaoantv.com:8278/live/chaoanzongyi.m3u8
潮安综艺,http://chaoan.chaoantv.com:8278/zongyi_1028/playlist.m3u8
点掌财经,http://cclive.aniu.tv/live/anzb.m3u8
犍为新闻综合,http://tv.scwlqw.cn:3100/hls/kqcyufpi/index.m3u8
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream/playlist.m3u8
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream_360p/playlist.m3u8
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream/playlist.m3u8
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream_360p/playlist.m3u8
福州少儿,http://live.zohi.tv/video/s10001sepd4/index.m3u8
福州影视,http://live.zohi.tv/video/s10001yspd2/index.m3u8
福州生活,http://live.zohi.tv/video/s10001shpd3/index.m3u8
福州综合,http://live.zohi.tv/video/s10001FZTV1/index.m3u8
舟山公共生活,http://live.wifizs.cn/ggsh/sd/live.m3u8
舟山新闻综合,http://live.wifizs.cn/xwzh/sd/live.m3u8
舟山群岛旅游,http://live.wifizs.cn/qdly/sd/live.m3u8
芜湖公共频道,http://live1.wuhubtv.com/channel3/sd/live.m3u8
芜湖新闻综合,http://live1.wuhubtv.com/channel1/sd/live.m3u8
芜湖生活频道,http://live1.wuhubtv.com/channel2/sd/live.m3u8
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
蓬安新闻综合,http://palive.patv123.com:8091/live/xwpd_800K.m3u8
衡水影视娱乐,http://hls.hsrtv.cn/hls/hstv2.m3u8
衡水新闻综合,http://hls.hsrtv.cn/hls/hstv1.m3u8
西安音乐综艺,http://stream2.xiancity.cn/xatv6/sd/live.m3u8
赵县电视一套,http://hbzx.chinashadt.com:2036/zhibo/stream:zx1.stream/playlist.m3u8
赵县电视一套,http://hbzx.chinashadt.com:2036/zhibo/stream:zx1.stream_360p/playlist.m3u8
赵县电视二套,http://hbzx.chinashadt.com:2036/zhibo/stream:zx2.stream/playlist.m3u8
赵县电视二套,http://hbzx.chinashadt.com:2036/zhibo/stream:zx2.stream_360p/playlist.m3u8
迪庆综合,http://stream01.dqtv123.com:1935/live/xinwenzonghe.stream/playlist.m3u8
迪庆藏语,http://stream01.dqtv123.com:1935/live/diqingzangyu.stream/playlist.m3u8
重庆移动公交,http://qxlmlive.cbg.cn:1935/app_2/ls_57.stream/chunklist.m3u8
重庆移动机场,http://qxlmlive.cbg.cn:1935/app_2/ls_56.stream/chunklist.m3u8
隆化影视频道,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
隆化综合频道,http://hblh.chinashadt.com:2036/live/stream:lh1.stream/playlist.m3u8
青州文化旅游,http://sdqz.chinashadt.com:2036/live/stream:3.stream/playlist.m3u8
青州生活频道,http://sdqz.chinashadt.com:2036/live/stream:2.stream/playlist.m3u8
青州综合频道,http://sdqz.chinashadt.com:2036/live/stream:1.stream/playlist.m3u8
鹤壁新闻综合,http://pililivehls.hebitv.com/hebi/hebi.m3u8
黄骅一套,http://hbhh.chinashadt.com:2111/live/hhtv.stream/playlist.m3u8
黄骅二套,http://hbhh.chinashadt.com:2111/live/hhtv2.stream/playlist.m3u8
黑龙江少儿,http://stream3.hljtv.com/hljse2/sd/live.m3u8
黔西南公共,http://live.qxndt.com/channel3/sd/live.m3u8
黔西南综合,http://live.qxndt.com/channel2/sd/live.m3u8
龙岩公共,http://stream.lytv.net.cn/1/sd/live.m3u8
龙岩综合,http://stream.lytv.net.cn/2/sd/live.m3u8
Arirang,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Channel News Asia,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
France 24,http://static.france24.com/live/F24_EN_LO_HLS/live_web.m3u8
KBS World,https://livecdn.fptplay.net/sdb/kbs_hls.smil/chunklist_b2500000.m3u8
NDTV 24X7,https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/ndtv24x7master.m3u8
Nippon TV News24 Japan,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
Россия 24,http://uiptv.do.am/1ufc/000000006/playlist.m3u8
YTN,http://slive.ytn.co.kr/ytn/_definst_/ytn_stream_20190306/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
好消息电视台,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息电视台,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
数码时代,http://yd-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江影视台,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江少儿台,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江教育台,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江钱江台,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江休闲台,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江经济台,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江新闻台,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江留学世界台,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江舟山综合台,http://live.wifizs.cn/xwzh/sd/live.m3u8
浙江舟山生活台,http://live.wifizs.cn/ggsh/sd/live.m3u8
浙江绍兴综合台,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江绍兴影视台,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江绍兴公共台,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
湖南娄底综合台,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
湖南张家界公共,http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
江苏张家港综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
江苏张家港民生,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8
江苏连云港综合,http://live.lyg1.com/zhpd/sd/live.m3u8
江苏连云港公共,http://live.lyg1.com/ggpd/sd/live.m3u8
江苏淮安综合,http://stream.habctv.com/xwzh/sd/live.m3u8
江苏淮安公共,http://stream.habctv.com/hagg/sd/live.m3u8
江苏淮安影视,http://stream.habctv.com/ysyl/sd/live.m3u8
安徽铜陵综合台,http://dstpush1.retalltech.com/app/stream1.m3u8
安徽铜陵公共台,http://dstpush1.retalltech.com/app/stream2.m3u8
重庆万州影视台,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
重庆万盛综合台,http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/playlist.m3u8
云南楚雄公共台,http://hwzbout.yunshicloud.com/gbqei5/12661u.m3u8
云南丽江公共台,http://hwzbout.yunshicloud.com/mj1170/06qk26.m3u8
云南普洱综合台,http://hwzbout.yunshicloud.com/701aec/orx377.m3u8
云南马关电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel12/playlist.m3u8
云南麻栗坡电视,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
四川新闻,http://scgctvshow.sctv.com/sdlive/sctv4/1.m3u8
四川影视文化,http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
四川公共乡村,http://scgctvshow.sctv.com/hdlive/sctv9/1.m3u8
四川经济,http://scgctvshow.sctv.com/hdlive/sctv3/1.m3u8
四川文化旅游HD,http://scgctvshow.sctv.com/hdlive/sctv2/1.m3u8
四川新闻频道HD,http://scgctvshow.sctv.com/hdlive/sctv4/1.m3u8
福建福州影视台,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
福建厦门第一台,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xiamen1_2/index.m3u8
陕西西安新闻台,http://stream2.xiancity.cn/xatv1/sd/live.m3u8
陕西西安白鸽台,http://stream2.xiancity.cn/xatv2/sd/live.m3u8
陕西西安影视台,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
陕西西安丝路台,http://stream2.xiancity.cn/xatv5/sd/live.m3u8
山西朔州新闻台,http://stream.sxsztv.com/live4/sd/live.m3u8
山东德州综合台,http://video.dztv.tv:1935/live/xwzh_gq/playlist.m3u8
山东德州公共台,http://video.dztv.tv:1935/live/dzgg_gq/playlist.m3u8
深圳蛇口,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8
吉林都市,http://stream1.jlntv.cn/dspd/sd/live.m3u8?_upt=4f4899d21531575987
吉林生活,http://stream1.jlntv.cn/shpd/sd/live.m3u8?_upt=212b47d81531576020
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
吉林乡村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8
吉林公共,http://stream1.jlntv.cn/ggpd/sd/live.m3u8
吉林7频道,http://stream1.jlntv.cn/fzpd/sd/live.m3u8
广东潮州综合,http://dslive.grtn.cn/czzh/sd/live.m3u8
福建福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
福建福州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
福建福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
江苏徐州综合,http://stream1.huaihai.tv/xwzh/playlist.m3u8
江苏徐州生活,http://stream1.huaihai.tv/jjsh/playlist.m3u8
江苏徐州影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
江苏徐州公共,http://stream1.huaihai.tv/ggpd/playlist.m3u8
浙江6套FHD,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?k=7902d458851930a3cab9763349e1425c&t=1577153702
浙江公共FHD,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743
浙江国际FHD,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884
浙江经视FHD,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?k=3bc164885721feecc386b066a39b8567&t=1577153471
浙江影视娱乐FHD,http://yd-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8?k=79b277c166767a9e072b9629b446d4e9&t=1577153637
舟山新闻综合,http://stream.wifizs.cn/xwzh/sd/live.m3u8
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
